congress,chamber,bioguide_id,name,party,PORTMAN_attract,PORTMAN_offer
98,house,H000449,CECIL HEFTEL,D,0.2939640319322196,0.11847519008997708
98,house,H000547,DENNIS HERTEL,D,0.4683510702392719,0.19881230911436087
98,house,H000586,JOHN HILER,R,,0.34435763985531953
98,house,H000624,ELWOOD HILLIS,R,0.40412575851802224,0.7780371205104332
98,house,H000747,MARJORIE HOLT,R,0.6793484097033811,0.6724332911407171
98,house,H000797,FRANK HORTON,R,0.506212013861973,0.7401784731556991
98,house,H000840,JAMES HOWARD,D,0.5407964938564775,0.08484644767957972
98,house,H000874,STENY HOYER,D,0.33557709322705237,0.1409436673914489
98,house,H000878,CARROLL HUBBARD,D,0.30476678415904784,0.30917948422877645
98,house,H000901,JERRY HUCKABY,D,0.4169695717278574,0.25579585983591124
98,house,H000930,WILLIAM HUGHES,D,0.5826074261671024,0.13408160598223207
98,house,H000981,DUNCAN HUNTER,R,0.21562990495092751,0.3034843102094269
98,house,H001018,EARL HUTTO,D,,0.31162942154967865
98,house,H001022,HENRY HYDE,R,0.323297594303443,0.5341850684181784
98,house,I000029,ANDREW IRELAND,R,0.46104320005084837,0.793044072842271
98,house,J000033,ANDREW JACOBS,D,0.3570513954847016,0.16573161413788406
98,house,J000072,JAMES JEFFORDS,R,0.43812781982153404,0.7577330945569772
98,house,J000083,ED JENKINS,D,0.3400871676825963,0.18233784069049683
98,house,J000163,NANCY JOHNSON,R,0.4120561697061288,0.6621142705637142
98,house,J000216,EDWARD JONES,D,0.40325191090187007,0.12534525086665443
98,house,J000232,JAMES JONES,D,0.3675275859608921,0.19450908879173168
98,house,J000256,WALTER JONES,D,0.4353394159927303,0.1591135592841157
98,house,K000009,MARCY KAPTUR,D,0.27641403406399323,0.03797190658202806
98,house,K000016,JOHN KASICH,R,,0.4862262619492838
98,house,K000020,ROBERT KASTENMEIER,D,0.4111568084676632,0.11965680316306175
98,house,K000025,ABRAHAM KAZEN,D,0.34464738801163286,0.16999203896193746
98,house,K000086,JACK KEMP,R,0.3118116233171471,0.5356968565420809
98,house,K000118,BARBARA KENNELLY,D,0.31257429203676823,0.11273429379471984
98,house,K000172,DALE KILDEE,D,0.3468315663370901,0.08701300245180613
98,house,K000190,THOMAS KINDNESS,R,0.4502423240489526,0.5441280613376053
98,house,K000304,RAYMOND KOGOVSEK,D,0.3757040114157425,0.1917645756067625
98,house,K000307,JOSEPH KOLTER,D,0.2989140161723019,0.06678732875702759
98,house,K000319,PETER KOSTMAYER,D,,0.07437000255830667
98,house,K000322,KENNETH KRAMER,R,0.27532187576559003,0.7199161239074999
98,house,L000020,ROBERT LAGOMARSINO,R,0.4613534351600637,0.5399405969048426
98,house,L000090,TOM LANTOS,D,0.3297726333413476,0.09013769483787923
98,house,L000116,DELBERT LATTA,R,,0.5356438405647813
98,house,L000169,JIM LEACH,R,0.4613534351600637,0.6330953052698071
98,house,L000180,JAMES LEATH,D,0.4394632899070042,0.12676999049457002
98,house,L000225,RICHARD LEHMAN,D,0.31886865546598303,0.22247081886531284
98,house,L000226,WILLIAM LEHMAN,D,,0.11502179583756503
98,house,L000237,GEORGE LELAND,D,0.1924315243841259,0.09136102226154727
98,house,L000243,NORMAN LENT,R,0.2479983260035591,0.7047070260995807
98,house,L000263,SANDER LEVIN,D,0.416997108551602,0.052818253141069145
98,house,L000264,MEL LEVINE,D,0.2989140161723019,0.04006736093987104
98,house,L000265,ELLIOTT LEVITAS,D,0.4430782137032343,0.1298969675335809
98,house,L000274,JERRY LEWIS,R,0.302633886734633,0.4196994704493686
98,house,L000295,THOMAS LEWIS,R,,0.6702938221131345
98,house,L000342,WILLIAM LIPINSKI,D,0.2391312129378415,0.4039921330483481
98,house,L000371,ROBERT LIVINGSTON,R,0.5153216891283177,0.4029270237479204
98,house,L000381,MARILYN LLOYD,D,0.3212390560750964,0.331037994700073
98,house,L000396,THOMAS LOEFFLER,R,0.32207447646674014,0.5299948464819957
98,house,L000413,CLARENCE LONG,D,0.2720003077120388,0.11033421131394425
98,house,L000417,GILLIS LONG,D,0.275920630312894,0.06816369006715146
98,house,L000447,CHESTER LOTT,R,0.256212013861973,0.4076258293045479
98,house,L000479,BILL LOWERY,R,0.27406915671911586,0.48142440831692407
98,house,L000486,MICHAEL LOWRY,D,0.2807283226205863,0.09136876538755734
98,house,L000506,MANUEL LUJAN,R,0.34742415892968276,0.67451066328309
98,house,L000508,THOMAS LUKEN,D,0.40231051212922636,0.1154283854171556
98,house,L000516,STANLEY LUNDINE,D,0.3276405852905444,0.18300823860486745
